year,season,discipline,startDate,endDate,organisingFederationCode,eventName,eventVenue,eventLevel,eventTypes,localOrganisers,region,information,eventorUrl,entryType,entryDeadlines,eventStatus,punchingSystem,websiteUrl,numberOfCompetitions,eventForm,competitionFormat,numberOfEntries,numberOfFemaleResults,numberOfMaleResults,numberOfUnknownGenderResults
,,FootO,,,ESP,Lorca O-Meeting,"Zarcilla de Ramos (Lorca, Murcia, Spain)",World Ranking Event,World Ranking Event,Lorca O,Europe,,https://eventor.orienteering.org/Events/Show/5153,Individual,2016-02-04 23:00:59,Completed,SportIdent,http://lom2016.blogspot.com,0,Individual,Long,53,42,24,0
,,FootO,,,EGY,Egypt International Orienteering Championships,"Luxor, Kings Island",World Ranking Event,World Ranking Event,,Africa,Date changed it will be 20 Feb,https://eventor.orienteering.org/Events/Show/5238,Individual,2016-02-10 21:59:59,Completed,SportIdent,http://egyorinteering.org/en/Home/,0,Individual,Middle,8,4,3,0
,,FootO,,,ISR,Israel Open Championship 2016,"Modiin, Israel",World Ranking Event,World Ranking Event,ISR OC Hasharon,Europe,,https://eventor.orienteering.org/Events/Show/5253,Individual,2016-02-14 21:59:59,Completed,SportIdent,http://israelorienteering.org/israel-open-championship-2016/,0,Individual,Middle,32,26,6,0
,,FootO,,,ISR,Israel Open Championship 2016,"Modiin, Israel",World Ranking Event,World Ranking Event,ISR OC Emek Hefer,Europe,,https://eventor.orienteering.org/Events/Show/5254,Individual,2016-02-14 21:59:59,Completed,SportIdent,http://israelorienteering.org/israel-open-championship-2016/,0,Individual,Middle,32,26,6,0
,,FootO,,,ESP,XXVIII International Trophy Murcia Costa Calida,Murcia,World Ranking Event,World Ranking Event,FORMurcia,Europe,,https://eventor.orienteering.org/Events/Show/5151,Individual,2016-02-11 22:59:59,Completed,SportIdent,http://www.costacalidaorientacion.com,0,Individual,Middle,172,115,60,0
,,FootO,,,TUR,Antalya O Days,Antalya,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5232,Individual,2016-02-19 15:30:59,Completed,SportIdent,http://www.orienteering.org.tr,0,Individual,Middle,88,76,46,0
,,FootO,,,TUR,Antalya O Days,Antalya,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5233,Individual,2016-02-19 15:30:59,Completed,SportIdent,http://www.orienteering.org.tr,0,Individual,Long,86,82,50,0
,,FootO,,,TPE,2016 Taiwan Sprint Orienteering Championship,Taiwan,World Ranking Event,World Ranking Event,,Asia,,https://eventor.orienteering.org/Events/Show/5178,Individual,2016-01-15 15:59:59,Completed,SportIdent,http://www.ctoa.tw/,0,Individual,Sprint,51,58,34,0
,,FootO,,,TUR,Antalya O Days,Antalya,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5234,Individual,2016-02-19 15:30:59,Completed,SportIdent,http://www.orienteering.org.tr,0,Individual,Sprint,54,69,32,0
,,SkiO,,,AUT,European Ski Orienteering Championships 2016 and World Cup Round 3,,Major Event,Regional Championships; World Cup,Orienteering Innsbruck Imst,Europe,,https://eventor.orienteering.org/Events/Show/5085,Individual,2016-02-16 22:59:59,Entries opened,Manual,http://www.skio2016.at/,5,Individual; Relay,Long; Middle; Sprint,125,0,0,0
,,SkiO,,,AUT,Junior World Ski Orienteering Championships 2016,,Major Event,Junior World Championships,Orienteering Innsbruck Imst,Europe,,https://eventor.orienteering.org/Events/Show/5086,Individual,2016-02-16 22:59:59,Entries opened,Manual,http://www.skio2016.at/,4,Individual; Relay,Long; Middle; Sprint,91,0,0,0
,,SkiO,,,AUT,European Youth Ski Orienteering Championships 2016,,Major Event,Regional Championships,Orienteering Innsbruck Imst,Europe,,https://eventor.orienteering.org/Events/Show/5087,Individual,2016-02-16 22:59:59,Entries opened,Manual,http://www.skio2016.at/,4,Individual; Relay,Long; Middle; Sprint,78,0,0,0
,,MTBO,,,POR,BOM MTBO 2016 - LONG DISTANCE,CANTANHEDE AND MEALHADA - PORTUGAL,World Ranking Event,World Ranking Event,CAB Clube de Aventura da Bairrada,Europe,The FPO - Portuguese Federation of Orientering provides the Si Air + for the event to all the athelets.                                                                                                                      The competition of this day is WRE MIDDLE DISTANCE,https://eventor.orienteering.org/Events/Show/5255,Individual,2016-02-23 23:59:59; 2016-02-29 18:00:59,Completed,SportIdent,http://aventurabairrada.wix.com/bommtbo2016,0,Individual,Middle,69,54,25,0
,,MTBO,,,POR,BOM MTBO 2016 - MIDDLE DISTANCE,CANTANHEDE AND MEALHADA - PORTUGAL,World Ranking Event,World Ranking Event,CAB Clube de Aventura da Bairrada,Europe,"The FPO - Portuguese Federation of Orientering provides the Si Air + for the event to all the athelets.                                                                           
The competition of this day is WRE LONG DISTANCE",https://eventor.orienteering.org/Events/Show/5256,Individual,2016-02-29 20:00:59,Completed,SportIdent,http://aventurabairrada.wix.com/bommtbo2016,0,Individual,Long,69,54,25,0
,,SkiO,,,USA,North American and US Ski Orienteering Championships,,World Ranking Event,World Ranking Event,Cambridge Sports Union,North America,,https://eventor.orienteering.org/Events/Show/5381,Individual,2016-03-08 04:59:59,Approved,Manual,http://NESkiO.com,3,Individual,Long; Middle; Sprint,0,0,0,0
,,FootO,,,AUS,National Orienteering League Round 1 Sprint,Melbourne University,World Ranking Event,World Ranking Event,Orienteering Victoria,Oceania,"University of Melbourne Parkville Campus. This is Race 2 of the 6-race Melbourne Sprint Weekend, March 12-14.  The organisers strongly recommend entering via Australian Eventor at http://eventor.orienteering.asn.au/Events.  You can enter all six races, make payment, and enter all age classes.",https://eventor.orienteering.org/Events/Show/5297,Individual,2016-03-02 12:59:59,Completed,SportIdent,http://www.parkstreeto.com.au/msw2016/,0,Individual,Sprint,0,58,36,0
,,SkiO,,,FIN,"Finnish Championships, Ski-orienteering, long distance",Hankasalmi,World Ranking Event,World Ranking Event,,Europe,Moved from 13/02/2016 to 12/03/2016 due to poor snow conditions.,https://eventor.orienteering.org/Events/Show/5243,Individual,2016-03-03 21:59:59,Completed,Emit,https://sites.google.com/site/smhisu2014/home/,0,Individual,Long,1,23,25,0
,,FootO,,,RSA,GOC Sprint Series,"De Vos Farm, Midrand",World Ranking Event,World Ranking Event,Rand Orienteering Club,Africa,,https://eventor.orienteering.org/Events/Show/5288,Individual,2016-03-10 21:59:59,Completed,Emit,http://www.roc.org.za,0,Individual,Sprint,0,10,7,0
,,SkiO,,,EST,Estonian SkiO Championships,"Kadaja, Põlvamaa, Süd-Estonia",World Ranking Event,World Ranking Event,OK Polva Kobras,Europe,Snow conditions in the terrain were great at 06.03.2016,https://eventor.orienteering.org/Events/Show/5295,Individual,2016-03-07 21:59:59,Completed,SportIdent,http://kobras.polvamaa.ee/,0,Individual,Long,20,14,9,0
,,FootO,,,DEN,Danish Spring Sprint,Helsingør,World Ranking Event,World Ranking Event,HSOK,Europe,,https://eventor.orienteering.org/Events/Show/5318,Individual,2016-03-15 13:00:59,Completed,SportIdent,http://www.danishspring.dk/,0,Individual,Sprint,118,72,46,0
,,FootO,,,DEN,Danish Spring Middle,Gribskov,World Ranking Event,World Ranking Event,OK Oest Birkeroed,Europe,,https://eventor.orienteering.org/Events/Show/5317,Individual,2016-03-15 13:00:59,Completed,SportIdent,http://www.danishspring.dk/,0,Individual,Middle,146,95,51,0
,,FootO,,,JPN,The 42nd All Japan Orienteering Championships 2016 ,Okazaki Chuo Sogo Koen,World Ranking Event,World Ranking Event,,Asia,,https://eventor.orienteering.org/Events/Show/5450,Individual,2016-02-20 14:59:59,Completed,Emit,http://www.orienteering.or.jp/joc/2016/bulletin1.pdf,0,Individual,Long,0,27,10,0
,,FootO,,,DEN,Danish Spring Long,Gribskov,World Ranking Event,World Ranking Event,OK Oest Birkeroed,Europe,,https://eventor.orienteering.org/Events/Show/5316,Individual,2016-03-15 13:00:59,Completed,SportIdent,http://www.danishspring.dk/,0,Individual,Long,121,81,40,0
,,FootO,,,RUS,Russian Cup,Sochi,World Ranking Event,World Ranking Event,,Europe,SFR punching system will be used,https://eventor.orienteering.org/Events/Show/5309,Individual,2016-03-18 19:59:59,Completed,Manual,http://rufso.ru,0,Individual,Sprint,70,48,29,0
,,FootO,,,AUS,Australian 3 Days Elite Prologue,University of Canberra,World Ranking Event,World Ranking Event,,Oceania,"All the information relating to this event is set out in the event website http://easter2016.orienteering.asn.au/ This event is the first stage of a four-day event for elite competitors in Canberra ACT over the Easter weekend 25-28 March 2016.  The organisers strongly recommend entering via Australian Eventor at http://eventor.orienteering.asn.au/Events/Show/3321 for the Prologue and all three days at http://eventor.orienteering.asn.au/Events/Show/3322.  You can enter all four stages, make payment, and enter all age classes.",https://eventor.orienteering.org/Events/Show/5267,Individual,2016-01-27 22:59:59; 2016-02-29 22:59:59,Completed,SportIdent,http://easter2016.orienteering.asn.au/,0,Individual,Sprint,0,92,55,0
,,FootO,,,GBR,Jan Kjellstrom Trophy Sprint,Leeds University,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5262,Individual,2016-01-14 23:59:59; 2016-02-11 23:59:59; 2016-03-03 23:59:59; 2016-03-19 00:00:59,Completed,SportIdent,http://thejk.org.uk,0,Individual,Sprint,331,209,130,0
